"ObjetoOriginal","ObjetoNovo"
"ZDE_INF_MDFE_MODAL_AQUAV_CARRE","ZESZDE_INF_MDFE_MODAL_AQUAV_CARRE"
"ZDE_INF_MDFE_INFDOC_MD_CTE_T","ZESZDE_INF_MDFE_INFDOC_MD_CTE_T"
"ZDE_VLR_DESCONTO","ZESZDE_VLR_DESCONTO"
"ZSTATUS_REG","ZESZSTATUS_REG"
"ZDE_CMES","ZESZDE_CMES"
"ZOBS_INTEGRACAO","ZESZOBS_INTEGRACAO"
"ZID_MATNR_IDEA","ZESZID_MATNR_IDEA"
"ZDE_LOGIN","ZESZDE_LOGIN"
"ZDE_AUTENTICA_API_AD","ZESZDE_AUTENTICA_API_AD"
"ZFIED007","ZESZFIED007"
"ZDE_NOT_CONTENT_LENGTH","ZESZDE_NOT_CONTENT_LENGTH"
"ZLEST0073","ZESZLEST0073"
"ZDM_OPUS_PORTA","ZESZDM_OPUS_PORTA"
"ZDE_TOMA_CNPJ","ZESZDE_TOMA_CNPJ"
"ZDE_LINHA_TXT_1000","ZESZDE_LINHA_TXT_1000"
"ZTP_BOLETIM","ZESZTP_BOLETIM"
"ZE_VINCULAR_COMBOIO","ZESZE_VINCULAR_COMBOIO"
"ZDE_ID_UN_TRANSP","ZESZDE_ID_UN_TRANSP"
"ZDM_PERC_BASE_ICMS","ZESZDM_PERC_BASE_ICMS"
"ZDT_OC","ZESZDT_OC"
"ZDE_ID_BENEFICIARIO","ZESZDE_ID_BENEFICIARIO"
"ZZTP_CCUSTO","ZESZZTP_CCUSTO"
"ZID_CHAR40","ZESZID_CHAR40"
"ZXNFE_VCONTRATO","ZESZXNFE_VCONTRATO"
"ZDE_CODIGO_RA_DESPACHO","ZESZDE_CODIGO_RA_DESPACHO"
"ZSTATUS_LOTE","ZESZSTATUS_LOTE"
"ZDEPP_QTD_ANTIGA","ZESZDEPP_QTD_ANTIGA"
"ZTIPO_MOV","ZESZTIPO_MOV"
"ZDE_NM_CERT_PROPIO","ZESZDE_NM_CERT_PROPIO"
"Z_VAL_PAT_LIQ","ZESZ_VAL_PAT_LIQ"
"ZDE_VLR_TRIAGEM","ZESZDE_VLR_TRIAGEM"
"ZEPM_DESC_CAIXA","ZESZEPM_DESC_CAIXA"
"ZDM_OPUS_DESC_IMPRESSORA","ZESZDM_OPUS_DESC_IMPRESSORA"
"ZDE_PESO_LIQ_POS_RET","ZESZDE_PESO_LIQ_POS_RET"
"ZBANCO_EMPRESA","ZESZBANCO_EMPRESA"
"ZRESVL_PRINC","ZESZRESVL_PRINC"
"ZAMOUNT_LC","ZESZAMOUNT_LC"
"ZDE_FARDO","ZESZDE_FARDO"
"ZKG_TRANSP","ZESZKG_TRANSP"
"ZDE_NR_PERC_AVA_ARD","ZESZDE_NR_PERC_AVA_ARD"
"ZMMED_PRAZO_RECLAM","ZESZMMED_PRAZO_RECLAM"
"ZDE_CTE_DIST_C57","ZESZDE_CTE_DIST_C57"
"ZXNFE_XSEG","ZESZXNFE_XSEG"
"ZDE_EMAIL_BASIS","ZESZDE_EMAIL_BASIS"
"ZDE_ID_ROTA","ZESZDE_ID_ROTA"
"ZDE_RG_MOTORISTA","ZESZDE_RG_MOTORISTA"
"ZDE_TERMINO_UF","ZESZDE_TERMINO_UF"
"ZDE_SEQ_OB","ZESZDE_SEQ_OB"
"ZXI_CTE_DIST_VEI","ZESZXI_CTE_DIST_VEI"
"ZXI_CTE_DIST_TER","ZESZXI_CTE_DIST_TER"
"ZEOPERACAO","ZESZEOPERACAO"
"ZXML7000","ZESZXML7000"
"ZDEMM_REIDI","ZESZDEMM_REIDI"
"ZJ_1BDOADAT","ZESZJ_1BDOADAT"
"ZDE_SALDO","ZESZDE_SALDO"
"ZPMED008","ZESZPMED008"
"ZREG_RE","ZESZREG_RE"
"ZTIPOCONTA","ZESZTIPOCONTA"
"ZDT_FIM","ZESZDT_FIM"
"ZCTE_VIAGEMS","ZESZCTE_VIAGEMS"
"ZDE_CK_REGISTRAR_IR","ZESZDE_CK_REGISTRAR_IR"
"ZREFNFP","ZESZREFNFP"
"ZDE_TX_OBS_ROM","ZESZDE_TX_OBS_ROM"
"ZSDED046","ZESZSDED046"
"ZVLR_TOLER2","ZESZVLR_TOLER2"
"ZDE_NM_PESO","ZESZDE_NM_PESO"
"ZDE_NM_PESO_SUBTOTAL","ZESZDE_NM_PESO_SUBTOTAL"
"ZSDED022","ZESZSDED022"
"ZID_CP","ZESZID_CP"
"Z_DC","ZESZ_DC"
"ZSEQ_SETOR","ZESZSEQ_SETOR"
"ZDE_M_CSLL_BRL","ZESZDE_M_CSLL_BRL"
"ZDE_NFE_NR_NOTA","ZESZDE_NFE_NR_NOTA"
"ZXNFE_PROP_REF","ZESZXNFE_PROP_REF"
"Z_TAXA_ANO","ZESZ_TAXA_ANO"
"ZDE_PESO_RETIDO_REAL","ZESZDE_PESO_RETIDO_REAL"
"ZDE_CTE_DIST_TER_ALV_T","ZESZDE_CTE_DIST_TER_ALV_T"
"ZCONTA_CONTABIL","ZESZCONTA_CONTABIL"
"ZDM_CST_PIS","ZESZDM_CST_PIS"
"ZDE_TRANSP_IE","ZESZDE_TRANSP_IE"
"ZDM_OBSERVACOES_GERAIS","ZESZDM_OBSERVACOES_GERAIS"
"ZDM_TP_STATUS_ORDEM","ZESZDM_TP_STATUS_ORDEM"
"ZDE_STATUS_ENTREGA","ZESZDE_STATUS_ENTREGA"
"ZDE_FORN_CNPJ","ZESZDE_FORN_CNPJ"
"ZFIWRT0024_LR","ZESZFIWRT0024_LR"
"ZE_STATUA","ZESZE_STATUA"
"ZSEQ2","ZESZSEQ2"
"ZTP_ESTRAT","ZESZTP_ESTRAT"
"ZIB_CTE_DIST_N55_T","ZESZIB_CTE_DIST_N55_T"
"ZDE_S_CSLL_BRL","ZESZDE_S_CSLL_BRL"
"ZDE_CPF_REM","ZESZDE_CPF_REM"
"ZDM_ID_SOLICITACAO","ZESZDM_ID_SOLICITACAO"
"ZDE_NR_QTDE_UMIDADE","ZESZDE_NR_QTDE_UMIDADE"
"ZDECTNUM9","ZESZDECTNUM9"
"ZFG_ATENCAO","ZESZFG_ATENCAO"
"ZTIPO_MVTO","ZESZTIPO_MVTO"
"ZDE_TP_ENC_MDFE","ZESZDE_TP_ENC_MDFE"
"ZDE_LOCAL_DESPACHO_LATITUDE","ZESZDE_LOCAL_DESPACHO_LATITUDE"
"ZDE_NR_QTD_SALDO_LOGISTICA","ZESZDE_NR_QTD_SALDO_LOGISTICA"
"ZCOMISSAO","ZESZCOMISSAO"
"ZDE_VLR05_02","ZESZDE_VLR05_02"
"ZXNFE_VERSION_MDFE","ZESZXNFE_VERSION_MDFE"
"ZNU_DEBITO","ZESZNU_DEBITO"
"ZFIWED023","ZESZFIWED023"
"ZSTATUSF","ZESZSTATUSF"
"ZDE_DIAS_VENCIMENTO","ZESZDE_DIAS_VENCIMENTO"
"ZDESD_USUARIO_I","ZESZDESD_USUARIO_I"
"ZPPED017","ZESZPPED017"
"ZDE_BRANCH_AG","ZESZDE_BRANCH_AG"
"ZDE_LR_CPF","ZESZDE_LR_CPF"
"ZCODPOSTO","ZESZCODPOSTO"
"ZDE_TP_REGIAO","ZESZDE_TP_REGIAO"
"ZMDFEUZEIT","ZESZMDFEUZEIT"
